編號,石頭柱編號,圖例,顏色,地點描述,LAT,LNG,海拔,地點照片1,地點照片2,地點照片3,地點照片4,地點照片5
49,,,,乳山故壘旁戰車群,24.438332,118.354005,58.34m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127890.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127891.jpg?raw=true,,,
50,,,,眺望台,24.437763,118.353414,62.77m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127896.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127897.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127898.jpg?raw=true,,
51,10,無障礙步道,橘色,無障礙0.9K(公里),24.437157,118.352976,62.87m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127899.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127900.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127901.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127902.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127903.jpg?raw=true
52,,,,福利社販賣部,24.437171,118.353644,59.29m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127907.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127908.jpg?raw=true,,,
53,9,無障礙步道,橘色,無障礙0.8K(公里),24.437151,118.35403,64.75m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127909.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127910.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127911.jpg?raw=true,,
54,8,無障礙步道,橘色,無障礙0.7K(公里),24.437967,118.354614,58.47m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127912.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127913.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127914.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127915.jpg?raw=true,
55,7,無障礙步道,橘色,無障礙0.6K(公里),24.43894,118.354654,59.55m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127916.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127917.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127918.jpg?raw=true,,
56,6,無障礙步道,橘色,無障礙0.5K(公里),24.439608,118.354608,52.44m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127919.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127920.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127921.jpg?raw=true,,
57,5,無障礙步道,橘色,無障礙0.4K(公里),24.440529,118.354628,58.66m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127922.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127923.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127924.jpg?raw=true,,
58,4,無障礙步道,橘色,無障礙0.3K(公里),24.441281,118.354588,59.24m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127925.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127926.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127927.jpg?raw=true,,
59,37,一般級自行車道,綠色,一般級自行車0.8K(公里),24.441633,118.3548,41.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127928.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127929.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127930.jpg?raw=true,,
60,,,,露營區盥洗間,24.441229,118.3552,60.57m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127931.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127932.jpg?raw=true,,,
61,,,,烤肉區,24.440589,118.355159,57.15m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127933.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127934.jpg?raw=true,,,
62,,,,遊樂設施,24.441633,118.3548,62.39m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127935.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127936.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127937.jpg?raw=true,,
63,,,,網球場,24.439277,118.355206,47.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127938.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127939.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127940.jpg?raw=true,,
64,45,一般級自行車道,綠色,一般級自行車3.0K(公里),24.439644,118.355323,65.76m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127941.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127942.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127943.jpg?raw=true,,
65,46,一般級自行車道,綠色,一般級自行車3.1K(公里),24.440007,118.356225,55.93m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127944.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127945.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127946.jpg?raw=true,,
66,47,一般級自行車道,綠色,一般級自行車3.2K(公里),24.440288,118.356952,58.65m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127947.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127948.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127949.jpg?raw=true,,
67,48,一般級自行車道,綠色,一般級自行車3.3K(公里),24.440627,118.357382,62.38m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127950.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127951.jpg?raw=true,,,
68,,,,廢棄焚化爐,24.440861,118.357462,42.0m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127952.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/128268.jpg?raw=true,,,
69,,,,危險級自行車道路口(起點),24.440523,118.357547,63.27m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127953.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127954.jpg?raw=true,,,
70,62,危險級自行車道,紫色,危險級自行車0.1K(公里),24.440321,118.358624,53.76m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127955.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127956.jpg?raw=true,,,
71,63,危險級自行車道,紫色,危險級自行車0.2K(公里),24.440616,118.35936,52.07m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127957.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127958.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127959.jpg?raw=true,,
72,64,危險級自行車道,紫色,危險級自行車0.3K(公里),24.44114,118.360128,54.71m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127960.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127961.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B32/127962.jpg?raw=true,,
73,65,危險級自行車道,紫色,危險級自行車0.4K(公里),24.441964,118.360192,60.25m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127963.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127964.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127965.jpg?raw=true,,
74,66,危險級自行車道,紫色,危險級自行車0.5K(公里),24.442699,118.360211,58.95m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127966.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127967.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127968.jpg?raw=true,,
75,67,危險級自行車道,紫色,危險級自行車0.6K(公里),24.443504,118.360519,55.76m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127969.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127970.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127971.jpg?raw=true,,
76,68,危險級自行車道,紫色,危險級自行車0.7K(公里),24.444288,118.360725,58.67m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127972.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127973.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127974.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127975.jpg?raw=true,
77,69,危險級自行車道,紫色,危險級自行車0.8K(公里),24.444426,118.359607,59.58m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127976.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127977.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127978.jpg?raw=true,,
78,70,危險級自行車道,紫色,危險級自行車0.9K(公里),24.444003,118.358777,55.67m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127979.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127980.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127981.jpg?raw=true,,
79,71,危險級自行車道,紫色,危險級自行車1.0K(公里),24.443515,118.357942,63.22m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127982.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127983.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127984.jpg?raw=true,,
80,72,危險級自行車道,紫色,危險級自行車1.1K(公里),24.442659,118.3575,62.04m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127985.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127986.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127987.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127988.jpg?raw=true,
81,73,危險級自行車道,紫色,危險級自行車1.2K(公里),24.442918,118.35704,64.32m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127989.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127990.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127991.jpg?raw=true,,
82,74,危險級自行車道,紫色,危險級自行車1.3K(公里)(終點),24.443657,118.356528,64.63m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127992.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127993.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127994.jpg?raw=true,,
83,33,一般級自行車道,綠色,一般級自行車0.4K(公里),24.443622,118.356348,63.43m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127995.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127996.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127997.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127998.jpg?raw=true,
84,34,一般級自行車道,綠色,一般級自行車0.5K(公里),24.443203,118.355684,63.86m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/127999.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128000.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128001.jpg?raw=true,,
85,35,一般級自行車道,綠色,一般級自行車0.6K(公里),24.442456,118.355675,58.64m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128002.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128003.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128004.jpg?raw=true,,
86,36,一般級自行車道,綠色,一般級自行車0.7K(公里),24.441583,118.355622,71.27m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128005.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128006.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128007.jpg?raw=true,,
87,50,一般級自行車道,綠色,一般級自行車3.5K(公里),24.441244,118.355761,70.28m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128008.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128009.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128010.jpg?raw=true,,
88,49,一般級自行車道,綠色,一般級自行車3.4K(公里),24.440959,118.356464,57.86m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128011.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128012.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128013.jpg?raw=true,,
89,32,一般級自行車道,綠色,一般級自行車0.3K(公里),24.44474,118.356396,69.37m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128014.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128015.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128016.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128017.jpg?raw=true,
90,31,一般級自行車道,綠色,一般級自行車0.2K(公里),24.444189,118.355829,71.3m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128018.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128019.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128020.jpg?raw=true,,
91,30,一般級自行車道,綠色,一般級自行車0.1K(公里),24.444186,118.354864,63.26m,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128021.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128022.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E4%B8%AD%E5%B1%B1%E6%9E%97%E7%85%A7%E7%89%87%E4%B8%8A%E5%82%B33/128023.jpg?raw=true,,
